    Number    Square      Cube      Sqrt
         1         1         1         1
         2         4         8   1.41421
         3         9        27   1.73205
         4        16        64         2
         5        25       125   2.23607
         6        36       216   2.44949
         7        49       343   2.64575
         8        64       512   2.82843
         9        81       729         3
        10       100      1000   3.16228
        11       121      1331   3.31662
        12       144      1728    3.4641
        13       169      2197   3.60555
        14       196      2744   3.74166
        15       225      3375   3.87298
        16       256      4096         4
        17       289      4913   4.12311
        18       324      5832   4.24264
        19       361      6859    4.3589
        20       400      8000   4.47214
        21       441      9261   4.58258
        22       484     10648   4.69042
        23       529     12167   4.79583
        24       576     13824   4.89898
        25       625     15625         5
        26       676     17576   5.09902
        27       729     19683   5.19615
        28       784     21952    5.2915
        29       841     24389   5.38516
        30       900     27000   5.47723
        31       961     29791   5.56776
        32      1024     32768   5.65685
        33      1089     35937   5.74456
        34      1156     39304   5.83095
        35      1225     42875   5.91608
        36      1296     46656         6
        37      1369     50653   6.08276
        38      1444     54872   6.16441
        39      1521     59319     6.245
        40      1600     64000   6.32456
        41      1681     68921   6.40312
        42      1764     74088   6.48074
        43      1849     79507   6.55744
        44      1936     85184   6.63325
        45      2025     91125    6.7082
        46      2116     97336   6.78233
        47      2209    103823   6.85565
        48      2304    110592    6.9282
        49      2401    117649         7
        50      2500    125000   7.07107
        51      2601    132651   7.14143
        52      2704    140608    7.2111
        53      2809    148877   7.28011
        54      2916    157464   7.34847
        55      3025    166375    7.4162
        56      3136    175616   7.48331
        57      3249    185193   7.54983
        58      3364    195112   7.61577
        59      3481    205379   7.68115
        60      3600    216000   7.74597
        61      3721    226981   7.81025
        62      3844    238328   7.87401
        63      3969    250047   7.93725
        64      4096    262144         8
        65      4225    274625   8.06226
        66      4356    287496   8.12404
        67      4489    300763   8.18535
        68      4624    314432   8.24621
        69      4761    328509   8.30662
        70      4900    343000    8.3666
        71      5041    357911   8.42615
        72      5184    373248   8.48528
        73      5329    389017     8.544
        74      5476    405224   8.60233
        75      5625    421875   8.66025
        76      5776    438976    8.7178
        77      5929    456533   8.77496
        78      6084    474552   8.83176
        79      6241    493039   8.88819
        80      6400    512000   8.94427
        81      6561    531441         9
        82      6724    551368   9.05539
        83      6889    571787   9.11043
        84      7056    592704   9.16515
        85      7225    614125   9.21954
        86      7396    636056   9.27362
        87      7569    658503   9.32738
        88      7744    681472   9.38083
        89      7921    704969   9.43398
        90      8100    729000   9.48683
        91      8281    753571   9.53939
        92      8464    778688   9.59166
        93      8649    804357   9.64365
        94      8836    830584   9.69536
        95      9025    857375   9.74679
        96      9216    884736   9.79796
        97      9409    912673   9.84886
        98      9604    941192   9.89949
        99      9801    970299   9.94987
